日期,weather_天气代码,weather_天气,weather_最低气温_摄氏度,weather_平均气温_摄氏度,weather_最高气温_摄氏度,weather_总降水量_毫米,weather_降雨量_毫米,weather_降雪量_厘米,weather_降水时长_小时,weather_10米最大风速_千米每小时,weather_10米最大阵风_千米每小时,weather_短波辐射总量_兆焦每平方米,weather_参考蒸散量_毫米,weather_星期,weather_是否周末,weather_是否节假日放假,weather_节假日名称,weather_是否调休上班,weather_调休说明,weather_日期标签,weather_依据文件,weather_依据链接,holiday_年份,holiday_星期,holiday_是否周末,holiday_是否节假日放假,holiday_节假日名称,holiday_是否调休上班,holiday_调休说明,holiday_日期标签,holiday_依据文件,holiday_依据链接,baidu_关键词,baidu_城市代码,baidu_城市,baidu_数据类型,baidu_数据间隔(天),baidu_所属年份,baidu_PC+移动指数,baidu_移动指数,baidu_PC指数,baidu_爬取时间,park_时间戳_first,park_时间戳_last,park_number,park_number_min,park_number_max,park_number_count,park_number_flag,park_交通状况,park_环境描述,park_原始文件名
2022-11-18,51,Light drizzle,3.3,7.0,10.9,0.1,0.1,0.0,1.0,12.5,22.3,4.43,0.9,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1341,955,386,2026-03-27 22:04:22,2022-11-18 09:00:00,2022-11-18 20:45:00,0.27208333333333334,0.05,0.38,48,original,通畅,舒适，适合参观游览。,2022-11-18_09-00.json | 2022-11-18_09-15.json | 2022-11-18_09-30.json | 2022-11-18_09-45.json | 2022-11-18_10-00.json | 2022-11-18_10-15.json | 2022-11-18_10-30.json | 2022-11-18_10-45.json | 2022-11-18_11-00.json | 2022-11-18_11-15.json | 2022-11-18_11-30.json | 2022-11-18_11-45.json | 2022-11-18_12-00.json | 2022-11-18_12-15.json | 2022-11-18_12-30.json | 2022-11-18_12-45.json | 2022-11-18_13-00.json | 2022-11-18_13-15.json | 2022-11-18_13-30.json | 2022-11-18_13-45.json | 2022-11-18_14-00.json | 2022-11-18_14-15.json | 2022-11-18_14-30.json | 2022-11-18_14-45.json | 2022-11-18_15-00.json | 2022-11-18_15-15.json | 2022-11-18_15-30.json | 2022-11-18_15-45.json | 2022-11-18_16-00.json | 2022-11-18_16-15.json | 2022-11-18_16-30.json | 2022-11-18_16-45.json | 2022-11-18_17-00.json | 2022-11-18_17-15.json | 2022-11-18_17-30.json | 2022-11-18_17-45.json | 2022-11-18_18-00.json | 2022-11-18_18-15.json | 2022-11-18_18-30.json | 2022-11-18_18-45.json | 2022-11-18_19-00.json | 2022-11-18_19-15.json | 2022-11-18_19-30.json | 2022-11-18_19-45.json | 2022-11-18_20-00.json | 2022-11-18_20-15.json | 2022-11-18_20-30.json | 2022-11-18_20-45.json
2022-11-19,3,Overcast,4.8,8.4,13.6,0.0,0.0,0.0,0.0,10.0,16.6,8.65,1.15,周六,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周六,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1289,994,295,2026-03-27 22:04:22,2022-11-19 09:00:00,2022-11-19 20:45:00,0.28020833333333334,0.18,0.4,48,original,通畅,舒适，适合参观游览。,2022-11-19_09-00.json | 2022-11-19_09-15.json | 2022-11-19_09-30.json | 2022-11-19_09-45.json | 2022-11-19_10-00.json | 2022-11-19_10-15.json | 2022-11-19_10-30.json | 2022-11-19_10-45.json | 2022-11-19_11-00.json | 2022-11-19_11-15.json | 2022-11-19_11-30.json | 2022-11-19_11-45.json | 2022-11-19_12-00.json | 2022-11-19_12-15.json | 2022-11-19_12-30.json | 2022-11-19_12-45.json | 2022-11-19_13-00.json | 2022-11-19_13-15.json | 2022-11-19_13-30.json | 2022-11-19_13-45.json | 2022-11-19_14-00.json | 2022-11-19_14-15.json | 2022-11-19_14-30.json | 2022-11-19_14-45.json | 2022-11-19_15-00.json | 2022-11-19_15-15.json | 2022-11-19_15-30.json | 2022-11-19_15-45.json | 2022-11-19_16-00.json | 2022-11-19_16-15.json | 2022-11-19_16-30.json | 2022-11-19_16-45.json | 2022-11-19_17-00.json | 2022-11-19_17-15.json | 2022-11-19_17-30.json | 2022-11-19_17-45.json | 2022-11-19_18-00.json | 2022-11-19_18-15.json | 2022-11-19_18-30.json | 2022-11-19_18-45.json | 2022-11-19_19-00.json | 2022-11-19_19-15.json | 2022-11-19_19-30.json | 2022-11-19_19-45.json | 2022-11-19_20-00.json | 2022-11-19_20-15.json | 2022-11-19_20-30.json | 2022-11-19_20-45.json
2022-11-20,51,Light drizzle,3.7,6.5,8.3,0.5,0.5,0.0,4.0,13.0,19.8,2.3,0.61,周日,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周日,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1343,1042,301,2026-03-27 22:04:22,2022-11-20 09:00:00,2022-11-20 20:45:00,0.24479166666666666,0.17,0.34,48,original,通畅,舒适，适合参观游览。,2022-11-20_09-00.json | 2022-11-20_09-15.json | 2022-11-20_09-30.json | 2022-11-20_09-45.json | 2022-11-20_10-00.json | 2022-11-20_10-15.json | 2022-11-20_10-30.json | 2022-11-20_10-45.json | 2022-11-20_11-00.json | 2022-11-20_11-15.json | 2022-11-20_11-30.json | 2022-11-20_11-45.json | 2022-11-20_12-00.json | 2022-11-20_12-15.json | 2022-11-20_12-30.json | 2022-11-20_12-45.json | 2022-11-20_13-00.json | 2022-11-20_13-15.json | 2022-11-20_13-30.json | 2022-11-20_13-45.json | 2022-11-20_14-00.json | 2022-11-20_14-15.json | 2022-11-20_14-30.json | 2022-11-20_14-45.json | 2022-11-20_15-00.json | 2022-11-20_15-15.json | 2022-11-20_15-30.json | 2022-11-20_15-45.json | 2022-11-20_16-00.json | 2022-11-20_16-15.json | 2022-11-20_16-30.json | 2022-11-20_16-45.json | 2022-11-20_17-00.json | 2022-11-20_17-15.json | 2022-11-20_17-30.json | 2022-11-20_17-45.json | 2022-11-20_18-00.json | 2022-11-20_18-15.json | 2022-11-20_18-30.json | 2022-11-20_18-45.json | 2022-11-20_19-00.json | 2022-11-20_19-15.json | 2022-11-20_19-30.json | 2022-11-20_19-45.json | 2022-11-20_20-00.json | 2022-11-20_20-15.json | 2022-11-20_20-30.json | 2022-11-20_20-45.json
2022-11-21,3,Overcast,3.2,6.9,10.2,0.0,0.0,0.0,0.0,19.4,29.9,8.53,1.42,周一,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周一,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1392,1032,360,2026-03-27 22:04:22,2022-11-21 09:00:00,2022-11-21 20:45:00,0.26416666666666666,0.19,0.36,48,original,通畅,舒适，适合参观游览。,2022-11-21_09-00.json | 2022-11-21_09-15.json | 2022-11-21_09-30.json | 2022-11-21_09-45.json | 2022-11-21_10-00.json | 2022-11-21_10-15.json | 2022-11-21_10-30.json | 2022-11-21_10-45.json | 2022-11-21_11-00.json | 2022-11-21_11-15.json | 2022-11-21_11-30.json | 2022-11-21_11-45.json | 2022-11-21_12-00.json | 2022-11-21_12-15.json | 2022-11-21_12-30.json | 2022-11-21_12-45.json | 2022-11-21_13-00.json | 2022-11-21_13-15.json | 2022-11-21_13-30.json | 2022-11-21_13-45.json | 2022-11-21_14-00.json | 2022-11-21_14-15.json | 2022-11-21_14-30.json | 2022-11-21_14-45.json | 2022-11-21_15-00.json | 2022-11-21_15-15.json | 2022-11-21_15-30.json | 2022-11-21_15-45.json | 2022-11-21_16-00.json | 2022-11-21_16-15.json | 2022-11-21_16-30.json | 2022-11-21_16-45.json | 2022-11-21_17-00.json | 2022-11-21_17-15.json | 2022-11-21_17-30.json | 2022-11-21_17-45.json | 2022-11-21_18-00.json | 2022-11-21_18-15.json | 2022-11-21_18-30.json | 2022-11-21_18-45.json | 2022-11-21_19-00.json | 2022-11-21_19-15.json | 2022-11-21_19-30.json | 2022-11-21_19-45.json | 2022-11-21_20-00.json | 2022-11-21_20-15.json | 2022-11-21_20-30.json | 2022-11-21_20-45.json
2022-11-22,3,Overcast,0.0,4.9,10.7,0.0,0.0,0.0,0.0,12.2,22.0,5.19,0.79,周二,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周二,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1309,1000,309,2026-03-27 22:04:22,2022-11-22 09:00:00,2022-11-22 20:45:00,0.25270833333333337,0.18,0.34,48,original,通畅,舒适，适合参观游览。,2022-11-22_09-00.json | 2022-11-22_09-15.json | 2022-11-22_09-30.json | 2022-11-22_09-45.json | 2022-11-22_10-00.json | 2022-11-22_10-15.json | 2022-11-22_10-30.json | 2022-11-22_10-45.json | 2022-11-22_11-00.json | 2022-11-22_11-15.json | 2022-11-22_11-30.json | 2022-11-22_11-45.json | 2022-11-22_12-00.json | 2022-11-22_12-15.json | 2022-11-22_12-30.json | 2022-11-22_12-45.json | 2022-11-22_13-00.json | 2022-11-22_13-15.json | 2022-11-22_13-30.json | 2022-11-22_13-45.json | 2022-11-22_14-00.json | 2022-11-22_14-15.json | 2022-11-22_14-30.json | 2022-11-22_14-45.json | 2022-11-22_15-00.json | 2022-11-22_15-15.json | 2022-11-22_15-30.json | 2022-11-22_15-45.json | 2022-11-22_16-00.json | 2022-11-22_16-15.json | 2022-11-22_16-30.json | 2022-11-22_16-45.json | 2022-11-22_17-00.json | 2022-11-22_17-15.json | 2022-11-22_17-30.json | 2022-11-22_17-45.json | 2022-11-22_18-00.json | 2022-11-22_18-15.json | 2022-11-22_18-30.json | 2022-11-22_18-45.json | 2022-11-22_19-00.json | 2022-11-22_19-15.json | 2022-11-22_19-30.json | 2022-11-22_19-45.json | 2022-11-22_20-00.json | 2022-11-22_20-15.json | 2022-11-22_20-30.json | 2022-11-22_20-45.json
2022-11-23,3,Overcast,0.3,4.4,10.6,0.0,0.0,0.0,0.0,9.2,15.1,8.0,0.94,周三,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周三,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1433,1052,381,2026-03-27 22:04:22,2022-11-23 09:00:00,2022-11-23 20:45:00,0.2575,0.13,0.35,48,original,通畅,舒适，适合参观游览。,2022-11-23_09-00.json | 2022-11-23_09-15.json | 2022-11-23_09-30.json | 2022-11-23_09-45.json | 2022-11-23_10-00.json | 2022-11-23_10-15.json | 2022-11-23_10-30.json | 2022-11-23_10-45.json | 2022-11-23_11-00.json | 2022-11-23_11-15.json | 2022-11-23_11-30.json | 2022-11-23_11-45.json | 2022-11-23_12-00.json | 2022-11-23_12-15.json | 2022-11-23_12-30.json | 2022-11-23_12-45.json | 2022-11-23_13-00.json | 2022-11-23_13-15.json | 2022-11-23_13-30.json | 2022-11-23_13-45.json | 2022-11-23_14-00.json | 2022-11-23_14-15.json | 2022-11-23_14-30.json | 2022-11-23_14-45.json | 2022-11-23_15-00.json | 2022-11-23_15-15.json | 2022-11-23_15-30.json | 2022-11-23_15-45.json | 2022-11-23_16-00.json | 2022-11-23_16-15.json | 2022-11-23_16-30.json | 2022-11-23_16-45.json | 2022-11-23_17-00.json | 2022-11-23_17-15.json | 2022-11-23_17-30.json | 2022-11-23_17-45.json | 2022-11-23_18-00.json | 2022-11-23_18-15.json | 2022-11-23_18-30.json | 2022-11-23_18-45.json | 2022-11-23_19-00.json | 2022-11-23_19-15.json | 2022-11-23_19-30.json | 2022-11-23_19-45.json | 2022-11-23_20-00.json | 2022-11-23_20-15.json | 2022-11-23_20-30.json | 2022-11-23_20-45.json
2022-11-24,3,Overcast,1.6,4.5,8.1,0.0,0.0,0.0,0.0,8.6,14.0,3.33,0.42,周四,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周四,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1357,1027,330,2026-03-27 22:04:22,2022-11-24 09:00:00,2022-11-24 20:45:00,0.23208333333333334,0.17,0.3,48,original,通畅,舒适，适合参观游览。,2022-11-24_09-00.json | 2022-11-24_09-15.json | 2022-11-24_09-30.json | 2022-11-24_09-45.json | 2022-11-24_10-00.json | 2022-11-24_10-15.json | 2022-11-24_10-30.json | 2022-11-24_10-45.json | 2022-11-24_11-00.json | 2022-11-24_11-15.json | 2022-11-24_11-30.json | 2022-11-24_11-45.json | 2022-11-24_12-00.json | 2022-11-24_12-15.json | 2022-11-24_12-30.json | 2022-11-24_12-45.json | 2022-11-24_13-00.json | 2022-11-24_13-15.json | 2022-11-24_13-30.json | 2022-11-24_13-45.json | 2022-11-24_14-00.json | 2022-11-24_14-15.json | 2022-11-24_14-30.json | 2022-11-24_14-45.json | 2022-11-24_15-00.json | 2022-11-24_15-15.json | 2022-11-24_15-30.json | 2022-11-24_15-45.json | 2022-11-24_16-00.json | 2022-11-24_16-15.json | 2022-11-24_16-30.json | 2022-11-24_16-45.json | 2022-11-24_17-00.json | 2022-11-24_17-15.json | 2022-11-24_17-30.json | 2022-11-24_17-45.json | 2022-11-24_18-00.json | 2022-11-24_18-15.json | 2022-11-24_18-30.json | 2022-11-24_18-45.json | 2022-11-24_19-00.json | 2022-11-24_19-15.json | 2022-11-24_19-30.json | 2022-11-24_19-45.json | 2022-11-24_20-00.json | 2022-11-24_20-15.json | 2022-11-24_20-30.json | 2022-11-24_20-45.json
2022-11-25,53,Moderate drizzle,2.0,6.6,12.2,0.7,0.7,0.0,1.0,36.4,57.6,8.01,2.68,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1233,926,307,2026-03-27 22:04:22,2022-11-25 09:00:00,2022-11-25 20:45:00,0.23208333333333334,0.17,0.3,48,original,通畅,舒适，适合参观游览。,2022-11-25_09-00.json | 2022-11-25_09-15.json | 2022-11-25_09-30.json | 2022-11-25_09-45.json | 2022-11-25_10-00.json | 2022-11-25_10-15.json | 2022-11-25_10-30.json | 2022-11-25_10-45.json | 2022-11-25_11-00.json | 2022-11-25_11-15.json | 2022-11-25_11-30.json | 2022-11-25_11-45.json | 2022-11-25_12-00.json | 2022-11-25_12-15.json | 2022-11-25_12-30.json | 2022-11-25_12-45.json | 2022-11-25_13-00.json | 2022-11-25_13-15.json | 2022-11-25_13-30.json | 2022-11-25_13-45.json | 2022-11-25_14-00.json | 2022-11-25_14-15.json | 2022-11-25_14-30.json | 2022-11-25_14-45.json | 2022-11-25_15-00.json | 2022-11-25_15-15.json | 2022-11-25_15-30.json | 2022-11-25_15-45.json | 2022-11-25_16-00.json | 2022-11-25_16-15.json | 2022-11-25_16-30.json | 2022-11-25_16-45.json | 2022-11-25_17-00.json | 2022-11-25_17-15.json | 2022-11-25_17-30.json | 2022-11-25_17-45.json | 2022-11-25_18-00.json | 2022-11-25_18-15.json | 2022-11-25_18-30.json | 2022-11-25_18-45.json | 2022-11-25_19-00.json | 2022-11-25_19-15.json | 2022-11-25_19-30.json | 2022-11-25_19-45.json | 2022-11-25_20-00.json | 2022-11-25_20-15.json | 2022-11-25_20-30.json | 2022-11-25_20-45.json
2022-11-26,3,Overcast,-4.4,-0.9,3.0,0.0,0.0,0.0,0.0,15.9,25.2,8.14,1.56,周六,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周六,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1210,971,239,2026-03-27 22:04:22,2022-11-26 09:00:00,2022-11-26 20:45:00,0.22791666666666666,0.17,0.29,48,original,通畅,舒适，适合参观游览。,2022-11-26_09-00.json | 2022-11-26_09-15.json | 2022-11-26_09-30.json | 2022-11-26_09-45.json | 2022-11-26_10-00.json | 2022-11-26_10-15.json | 2022-11-26_10-30.json | 2022-11-26_10-45.json | 2022-11-26_11-00.json | 2022-11-26_11-15.json | 2022-11-26_11-30.json | 2022-11-26_11-45.json | 2022-11-26_12-00.json | 2022-11-26_12-15.json | 2022-11-26_12-30.json | 2022-11-26_12-45.json | 2022-11-26_13-00.json | 2022-11-26_13-15.json | 2022-11-26_13-30.json | 2022-11-26_13-45.json | 2022-11-26_14-00.json | 2022-11-26_14-15.json | 2022-11-26_14-30.json | 2022-11-26_14-45.json | 2022-11-26_15-00.json | 2022-11-26_15-15.json | 2022-11-26_15-30.json | 2022-11-26_15-45.json | 2022-11-26_16-00.json | 2022-11-26_16-15.json | 2022-11-26_16-30.json | 2022-11-26_16-45.json | 2022-11-26_17-00.json | 2022-11-26_17-15.json | 2022-11-26_17-30.json | 2022-11-26_17-45.json | 2022-11-26_18-00.json | 2022-11-26_18-15.json | 2022-11-26_18-30.json | 2022-11-26_18-45.json | 2022-11-26_19-00.json | 2022-11-26_19-15.json | 2022-11-26_19-30.json | 2022-11-26_19-45.json | 2022-11-26_20-00.json | 2022-11-26_20-15.json | 2022-11-26_20-30.json | 2022-11-26_20-45.json
2022-11-27,75,Heavy snow fall,-2.8,1.7,5.9,2.1,0.7,0.98,2.0,12.6,24.5,7.41,1.24,周日,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,2022,周日,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm,天坛,0,全国,日度,1,2022,1277,989,288,2026-03-27 22:04:22,2022-11-27 09:00:00,2022-11-27 20:45:00,0.23,0.17,0.29,48,original,通畅,舒适，适合参观游览。,2022-11-27_09-00.json | 2022-11-27_09-15.json | 2022-11-27_09-30.json | 2022-11-27_09-45.json | 2022-11-27_10-00.json | 2022-11-27_10-15.json | 2022-11-27_10-30.json | 2022-11-27_10-45.json | 2022-11-27_11-00.json | 2022-11-27_11-15.json | 2022-11-27_11-30.json | 2022-11-27_11-45.json | 2022-11-27_12-00.json | 2022-11-27_12-15.json | 2022-11-27_12-30.json | 2022-11-27_12-45.json | 2022-11-27_13-00.json | 2022-11-27_13-15.json | 2022-11-27_13-30.json | 2022-11-27_13-45.json | 2022-11-27_14-00.json | 2022-11-27_14-15.json | 2022-11-27_14-30.json | 2022-11-27_14-45.json | 2022-11-27_15-00.json | 2022-11-27_15-15.json | 2022-11-27_15-30.json | 2022-11-27_15-45.json | 2022-11-27_16-00.json | 2022-11-27_16-15.json | 2022-11-27_16-30.json | 2022-11-27_16-45.json | 2022-11-27_17-00.json | 2022-11-27_17-15.json | 2022-11-27_17-30.json | 2022-11-27_17-45.json | 2022-11-27_18-00.json | 2022-11-27_18-15.json | 2022-11-27_18-30.json | 2022-11-27_18-45.json | 2022-11-27_19-00.json | 2022-11-27_19-15.json | 2022-11-27_19-30.json | 2022-11-27_19-45.json | 2022-11-27_20-00.json | 2022-11-27_20-15.json | 2022-11-27_20-30.json | 2022-11-27_20-45.json
