日期,天气代码,天气,最低气温_摄氏度,平均气温_摄氏度,最高气温_摄氏度,总降水量_毫米,降雨量_毫米,降雪量_厘米,降水时长_小时,10米最大风速_千米每小时,10米最大阵风_千米每小时,短波辐射总量_兆焦每平方米,参考蒸散量_毫米,星期,是否周末,是否节假日放假,节假日名称,是否调休上班,调休说明,日期标签,依据文件,依据链接
2022-01-01,2,Partly cloudy,-6.2,-1.8,6.5,0.0,0.0,0.0,0.0,31.1,50.4,7.95,1.61,周六,是,是,元旦,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-02,3,Overcast,-6.9,-3.6,0.9,0.0,0.0,0.0,0.0,17.1,30.2,7.99,1.29,周日,是,是,元旦,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-03,3,Overcast,-6.5,-2.4,4.6,0.0,0.0,0.0,0.0,10.5,21.6,8.14,1.21,周一,否,是,元旦,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-04,0,Clear sky,-6.5,-2.8,2.0,0.0,0.0,0.0,0.0,12.3,20.5,7.96,1.09,周二,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-05,1,Mainly clear,-5.8,-2.8,2.4,0.0,0.0,0.0,0.0,10.3,20.2,7.82,0.75,周三,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-06,0,Clear sky,-6.6,-2.6,3.5,0.0,0.0,0.0,0.0,13.4,22.7,8.12,1.05,周四,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-07,3,Overcast,-5.8,-2.5,4.2,0.0,0.0,0.0,0.0,12.3,20.5,7.43,0.89,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-08,3,Overcast,-6.4,0.0,7.7,0.0,0.0,0.0,0.0,13.4,23.8,8.11,1.4,周六,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-09,3,Overcast,-5.1,-2.2,0.9,0.0,0.0,0.0,0.0,11.9,18.4,3.07,0.47,周日,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-10,3,Overcast,-5.9,-2.3,1.7,0.0,0.0,0.0,0.0,24.7,43.6,8.55,1.55,周一,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-11,3,Overcast,-8.1,-5.4,-0.7,0.0,0.0,0.0,0.0,11.2,20.9,8.53,1.15,周二,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-12,3,Overcast,-7.2,-4.0,2.3,0.0,0.0,0.0,0.0,23.7,40.7,6.24,1.38,周三,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-13,0,Clear sky,-6.1,-2.8,2.5,0.0,0.0,0.0,0.0,15.8,28.4,8.75,1.54,周四,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-14,3,Overcast,-7.2,-3.6,1.5,0.0,0.0,0.0,0.0,11.1,18.4,8.73,0.94,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-15,1,Mainly clear,-6.0,-2.2,2.6,0.0,0.0,0.0,0.0,32.5,54.7,8.97,1.84,周六,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-16,3,Overcast,-7.5,-4.7,-0.8,0.0,0.0,0.0,0.0,16.9,31.7,8.32,1.18,周日,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-17,0,Clear sky,-6.6,-2.8,3.5,0.0,0.0,0.0,0.0,16.3,27.7,9.16,1.54,周一,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-18,3,Overcast,-7.1,-3.0,2.8,0.0,0.0,0.0,0.0,9.1,17.6,8.94,1.04,周二,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-19,3,Overcast,-5.5,-3.6,-0.3,0.0,0.0,0.0,0.0,15.5,26.3,7.41,1.0,周三,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-20,71,Slight snow fall,-5.5,-4.0,-1.7,0.2,0.0,0.14,2.0,14.8,27.4,4.88,0.82,周四,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-21,71,Slight snow fall,-6.2,-3.4,-0.8,0.2,0.0,0.14,2.0,10.5,21.2,4.45,0.61,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-22,71,Slight snow fall,-5.2,-2.9,-0.3,1.6,0.1,1.05,10.0,9.0,16.9,5.98,0.59,周六,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-23,3,Overcast,-4.9,-2.6,0.8,0.0,0.0,0.0,0.0,8.4,15.8,4.91,0.59,周日,是,否,,否,,周末,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-24,3,Overcast,-5.0,-2.4,1.9,0.0,0.0,0.0,0.0,11.2,21.6,7.2,0.71,周一,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-25,3,Overcast,-5.3,-0.7,5.2,0.0,0.0,0.0,0.0,21.2,37.1,9.64,1.63,周二,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-26,3,Overcast,-4.6,-2.5,1.4,0.0,0.0,0.0,0.0,19.1,31.7,9.09,1.57,周三,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-27,3,Overcast,-6.2,-3.4,2.0,0.0,0.0,0.0,0.0,20.0,35.3,10.08,1.66,周四,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-28,3,Overcast,-7.2,-3.6,1.8,0.0,0.0,0.0,0.0,13.8,23.4,10.18,1.48,周五,否,否,,否,,工作日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-29,2,Partly cloudy,-6.8,-3.1,3.0,0.0,0.0,0.0,0.0,11.4,18.4,10.36,1.46,周六,是,否,,是,春节调休上班,调休上班,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-30,73,Moderate snow fall,-7.3,-2.3,4.6,0.9,0.0,0.63,1.0,18.9,32.0,9.35,1.16,周日,是,否,,是,春节调休上班,调休上班,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-01-31,3,Overcast,-6.1,-2.5,1.0,0.0,0.0,0.0,0.0,28.5,48.6,10.7,2.08,周一,否,是,春节,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-02-01,0,Clear sky,-7.4,-4.5,0.6,0.0,0.0,0.0,0.0,18.6,29.5,10.94,1.66,周二,否,是,春节,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-02-02,0,Clear sky,-8.3,-3.8,2.5,0.0,0.0,0.0,0.0,15.6,28.1,11.05,1.68,周三,否,是,春节,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-02-03,3,Overcast,-6.0,-3.1,2.8,0.0,0.0,0.0,0.0,23.3,39.6,11.0,1.88,周四,否,是,春节,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-02-04,0,Clear sky,-7.4,-4.4,0.6,0.0,0.0,0.0,0.0,19.9,36.0,11.27,1.73,周五,否,是,春节,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-02-05,3,Overcast,-7.2,-2.8,4.9,0.0,0.0,0.0,0.0,19.4,33.1,11.29,1.86,周六,是,是,春节,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
2022-02-06,3,Overcast,-5.0,-0.9,6.2,0.0,0.0,0.0,0.0,16.8,28.4,10.93,1.95,周日,是,是,春节,否,,节假日,国务院办公厅关于2022年部分节假日安排的通知,https://www.gov.cn/fuwu/2021-10/25/content_5644875.htm
