关键词,城市代码,城市,日期,数据类型,数据间隔(天),所属年份,PC+移动指数,移动指数,PC指数,爬取时间
天坛,0,全国,2022-06-01,日度,1,2022,1358,958,400,2026-03-27 22:04:22
天坛,0,全国,2022-06-02,日度,1,2022,1386,938,448,2026-03-27 22:04:22
天坛,0,全国,2022-06-03,日度,1,2022,1299,981,318,2026-03-27 22:04:22
天坛,0,全国,2022-06-04,日度,1,2022,1433,1124,309,2026-03-27 22:04:22
天坛,0,全国,2022-06-05,日度,1,2022,1674,1305,369,2026-03-27 22:04:22
天坛,0,全国,2022-06-06,日度,1,2022,1401,999,402,2026-03-27 22:04:22
天坛,0,全国,2022-06-07,日度,1,2022,1471,1020,451,2026-03-27 22:04:22
天坛,0,全国,2022-06-08,日度,1,2022,1491,1020,471,2026-03-27 22:04:22
天坛,0,全国,2022-06-09,日度,1,2022,1481,1030,451,2026-03-27 22:04:22
天坛,0,全国,2022-06-10,日度,1,2022,1367,937,430,2026-03-27 22:04:22
天坛,0,全国,2022-06-11,日度,1,2022,1327,986,341,2026-03-27 22:04:22
天坛,0,全国,2022-06-12,日度,1,2022,1411,1093,318,2026-03-27 22:04:22
天坛,0,全国,2022-06-13,日度,1,2022,1336,947,389,2026-03-27 22:04:22
天坛,0,全国,2022-06-14,日度,1,2022,1312,932,380,2026-03-27 22:04:22
天坛,0,全国,2022-06-15,日度,1,2022,1255,919,336,2026-03-27 22:04:22
天坛,0,全国,2022-06-16,日度,1,2022,1290,907,383,2026-03-27 22:04:22
天坛,0,全国,2022-06-17,日度,1,2022,1354,890,464,2026-03-27 22:04:22
天坛,0,全国,2022-06-18,日度,1,2022,1160,929,231,2026-03-27 22:04:22
天坛,0,全国,2022-06-19,日度,1,2022,1220,956,264,2026-03-27 22:04:22
天坛,0,全国,2022-06-20,日度,1,2022,1208,890,318,2026-03-27 22:04:22
天坛,0,全国,2022-06-21,日度,1,2022,1207,900,307,2026-03-27 22:04:22
天坛,0,全国,2022-06-22,日度,1,2022,1207,894,313,2026-03-27 22:04:22
天坛,0,全国,2022-06-23,日度,1,2022,1196,889,307,2026-03-27 22:04:22
天坛,0,全国,2022-06-24,日度,1,2022,1208,881,327,2026-03-27 22:04:22
天坛,0,全国,2022-06-25,日度,1,2022,1105,896,209,2026-03-27 22:04:22
天坛,0,全国,2022-06-26,日度,1,2022,1197,946,251,2026-03-27 22:04:22
天坛,0,全国,2022-06-27,日度,1,2022,1239,909,330,2026-03-27 22:04:22
天坛,0,全国,2022-06-28,日度,1,2022,1182,883,299,2026-03-27 22:04:22
天坛,0,全国,2022-06-29,日度,1,2022,1173,883,290,2026-03-27 22:04:22
天坛,0,全国,2022-06-30,日度,1,2022,1204,864,340,2026-03-27 22:04:22
天坛,0,全国,2022-07-01,日度,1,2022,1166,882,284,2026-03-27 22:04:22
天坛,0,全国,2022-07-02,日度,1,2022,1138,918,220,2026-03-27 22:04:22
天坛,0,全国,2022-07-03,日度,1,2022,1135,910,225,2026-03-27 22:04:22
天坛,0,全国,2022-07-04,日度,1,2022,1158,859,299,2026-03-27 22:04:22
天坛,0,全国,2022-07-05,日度,1,2022,1205,875,330,2026-03-27 22:04:22
天坛,0,全国,2022-07-06,日度,1,2022,1189,879,310,2026-03-27 22:04:22
天坛,0,全国,2022-07-07,日度,1,2022,1174,865,309,2026-03-27 22:04:22
天坛,0,全国,2022-07-08,日度,1,2022,1208,872,336,2026-03-27 22:04:22
天坛,0,全国,2022-07-09,日度,1,2022,1163,923,240,2026-03-27 22:04:22
天坛,0,全国,2022-07-10,日度,1,2022,1152,943,209,2026-03-27 22:04:22
天坛,0,全国,2022-07-11,日度,1,2022,1201,897,304,2026-03-27 22:04:22
天坛,0,全国,2022-07-12,日度,1,2022,1186,879,307,2026-03-27 22:04:22
天坛,0,全国,2022-07-13,日度,1,2022,1264,909,355,2026-03-27 22:04:22
天坛,0,全国,2022-07-14,日度,1,2022,1216,912,304,2026-03-27 22:04:22
天坛,0,全国,2022-07-15,日度,1,2022,1262,922,340,2026-03-27 22:04:22
天坛,0,全国,2022-07-16,日度,1,2022,1195,976,219,2026-03-27 22:04:22
天坛,0,全国,2022-07-17,日度,1,2022,1157,953,204,2026-03-27 22:04:22
天坛,0,全国,2022-07-18,日度,1,2022,1246,920,326,2026-03-27 22:04:22
天坛,0,全国,2022-07-19,日度,1,2022,1311,937,374,2026-03-27 22:04:22
天坛,0,全国,2022-07-20,日度,1,2022,1278,921,357,2026-03-27 22:04:22
天坛,0,全国,2022-07-21,日度,1,2022,1317,925,392,2026-03-27 22:04:22
天坛,0,全国,2022-07-22,日度,1,2022,1298,937,361,2026-03-27 22:04:22
天坛,0,全国,2022-07-23,日度,1,2022,1223,987,236,2026-03-27 22:04:22
天坛,0,全国,2022-07-24,日度,1,2022,1162,962,200,2026-03-27 22:04:22
天坛,0,全国,2022-07-25,日度,1,2022,1259,929,330,2026-03-27 22:04:22
天坛,0,全国,2022-07-26,日度,1,2022,1344,978,366,2026-03-27 22:04:22
天坛,0,全国,2022-07-27,日度,1,2022,1331,960,371,2026-03-27 22:04:22
天坛,0,全国,2022-07-28,日度,1,2022,1352,992,360,2026-03-27 22:04:22
天坛,0,全国,2022-07-29,日度,1,2022,1388,1016,372,2026-03-27 22:04:22
天坛,0,全国,2022-07-30,日度,1,2022,1614,1341,273,2026-03-27 22:04:22
天坛,0,全国,2022-07-31,日度,1,2022,1460,1201,259,2026-03-27 22:04:22
天坛,0,全国,2022-08-01,日度,1,2022,1346,974,372,2026-03-27 22:04:22
天坛,0,全国,2022-08-02,日度,1,2022,1329,991,338,2026-03-27 22:04:22
天坛,0,全国,2022-08-03,日度,1,2022,1379,977,402,2026-03-27 22:04:22
天坛,0,全国,2022-08-04,日度,1,2022,1261,943,318,2026-03-27 22:04:22
天坛,0,全国,2022-08-05,日度,1,2022,1299,984,315,2026-03-27 22:04:22
